市区町村コード,筆数合計,公共座標の筆数,任意座標の筆数,数字以外で始まる地番の筆数
44210,237703,103308,99841,34554
44211,400401,37650,303875,58876
44212,420443,170979,198091,51373
44213,187569,152670,1853,33046
44214,291379,234090,8558,48731
44321,1,0,1,0
44322,11499,9069,11,2419
44341,86739,50124,26247,10368
44461,79319,39520,29290,10509
44462,108185,31875,61929,14381
44501,1,0,1,0
44522,2,1,1,0
45201,674179,234315,295439,144425
45202,517122,382163,66069,68890
45203,343784,70640,174220,98924
45204,278190,95773,77560,104857
45205,227084,121165,94408,11511
45206,183361,30962,99564,52835
45207,170620,30128,119627,20865
45208,172095,45088,105922,21085
45209,127527,86179,28565,12783
45301,114,0,0,114
45321,4998,29,0,4969
45322,6135,91,0,6044
45341,62404,52220,1423,8761
45345,4,3,0,1
45361,61188,56530,0,4658
45362,3585,16,1,3568
45382,90267,47192,32368,10707
45383,31084,24379,3413,3292
45401,54141,34603,12406,7132
45402,68108,57123,0,10985
45403,12721,9725,884,2112
45404,29501,24222,295,4984
45405,82865,72622,1241,9002
45406,53530,43836,183,9511
45421,51286,42163,1351,7772
45429,38762,34562,0,4200
45430,42331,20440,17679,4212
45431,121904,89457,8441,24006
45441,119464,83976,21130,14358
45442,75380,61781,1769,11830
45443,52583,34068,13203,5312
46201,733138,299839,383182,50117
46203,334379,214368,86859,33152
46204,103806,90047,0,13759
46206,140285,120641,2411,17233
46207,3,0,0,3
46208,215430,185356,1072,29002
46209,22677,31,65,22581
46210,180425,140070,16857,23498
46211,2,2,0,0
46213,117858,57793,47407,12658
46214,84023,35550,36748,11725
46215,473924,410565,3913,59446
46216,317174,282460,0,34714
46217,308393,269038,0,39355
46218,411564,362531,3723,45310
46219,118923,98614,5285,15024
46220,337540,291693,119,45728
46221,202418,179685,3,22730
46222,120101,46174,61129,12798
46223,431952,374864,64,57024
46224,171966,169329,1356,1281
46225,183830,181377,1781,672
46302,1,0,1,0
46303,3830,1088,2115,627
46304,11215,4166,5657,1392
46344,1,1,0,0
46383,1,1,0,0
46392,197438,171422,1223,24793
46404,104512,90623,44,13845
46421,10322,27,62,10233
46441,6257,83,0,6174
46442,6843,960,0,5883
46443,8168,17,12,8139
46452,85195,72265,194,12736
46467,1,1,0,0
46468,107642,98550,0,9092
46482,32601,29748,0,2853
46485,2,2,0,0
46490,61824,47988,5567,8269
46491,91190,39058,41743,10389
46492,90989,56898,21531,12560
46501,82508,60192,13159,9157
46502,60243,39323,16004,4916
46505,97888,83259,9,14620
46523,24249,4372,14184,5693
46524,32183,5792,24227,2164
46525,76318,14800,56045,5473
46527,35001,21591,7398,6012
46529,69617,27405,36540,5672
46530,74773,27736,38660,8377
46531,36334,17188,14620,4526
46532,47377,16967,26488,3922
46533,43416,35245,290,7881
46534,45621,37371,803,7447
46535,29680,27805,0,1875
47201,132331,127876,0,4455
47202,2,2,0,0
47205,61729,57225,339,4165
47207,109830,98944,480,10406
47208,66046,62503,66,3477
47209,137113,123514,173,13426
47210,82329,75015,300,7014
47211,107187,99755,1545,5887
47212,47527,45306,0,2221
47213,207736,185030,10445,12261
47214,201440,159222,29436,12782
47215,110296,101108,0,9188
47301,48356,42548,0,5808
47302,37124,33707,0,3417
47303,15651,14030,0,1621
47306,52748,48139,0,4609
47308,75220,70514,0,4706
47311,49542,45458,1,4083
47313,23882,22357,0,1525
47314,34726,31581,0,3145
47315,29731,28495,0,1236
47324,61654,56404,22,5228
47325,20922,19578,144,1200
47326,29486,27373,938,1175
47327,30906,27543,256,3107
47328,37376,33949,2,3425
47329,38347,36639,0,1708
47348,17165,15743,0,1422
47350,33429,31315,0,2114
47353,6515,6285,0,230
47354,8991,8273,0,718
47355,20247,19219,0,1028
47356,6966,6412,0,554
47357,10120,9793,0,327
47358,3388,3149,1,238
47359,16082,14735,0,1347
47360,23827,22289,0,1538
47361,63699,57267,0,6432
47362,54322,49039,0,5283
47375,9496,8221,0,1275
47381,43939,37511,1790,4638
47382,9849,8705,0,1144
