市区町村コード,筆数合計,公共座標の筆数,任意座標の筆数,数字以外で始まる地番の筆数
04422,52100,41683,4310,6107
04423,3305,17,6,3282
04424,35841,25206,6215,4420
04442,2,0,0,2
04444,42532,35484,1593,5455
04445,125278,110061,2001,13216
04501,58877,53110,145,5622
04505,72467,57090,7613,7764
04548,1,1,0,0
04581,21550,18656,0,2894
04603,15,0,4,11
04606,61629,56034,273,5322
05201,617142,119973,396442,100727
05202,242366,86015,123517,32834
05203,510483,150383,263530,96570
05204,309061,87321,176764,44976
05206,150479,95564,30541,24374
05207,259037,72376,146978,39683
05209,155835,110392,22745,22698
05210,497901,299388,118758,79755
05211,88166,48758,28256,11152
05212,560358,231474,247444,81440
05213,249756,178509,34654,36593
05214,145184,125792,1641,17751
05215,229844,117904,76164,35776
05303,25050,15154,4600,5296
05327,28590,16601,7015,4974
05346,39930,11731,18422,9777
05348,137849,87482,26466,23901
05349,67299,34301,17445,15553
05361,66285,50862,7089,8334
05363,26182,6799,16579,2804
05366,30244,23138,3379,3727
05368,21176,0,21148,28
05423,1,0,0,1
05434,113586,93329,4253,16004
05463,115610,35384,64006,16220
05464,24886,20013,98,4775
06201,413861,72695,299713,41453
06202,334718,6396,291805,36517
06203,609518,256218,281376,71924
06204,390187,158927,184592,46668
06205,112748,75431,23262,14055
06206,111014,77949,15924,17141
06207,176980,11259,148364,17357
06208,124718,90688,19721,14309
06209,125306,52054,55840,17412
06210,157488,15422,115969,26097
06211,130783,79492,31701,19590
06212,142390,70809,48809,22772
06213,172035,21470,131946,18619
06301,42185,37087,1221,3877
06302,35508,27782,4280,3446
06321,52633,37548,1020,14065
06322,59914,43947,2840,13127
06323,67706,47244,68,20394
06324,60546,33484,1407,25655
06341,43246,25918,7535,9793
06361,39095,33032,773,5290
06362,59497,46995,3793,8709
06363,47663,39583,1598,6482
06364,57819,49197,1083,7539
06365,34659,30671,334,3654
06366,42175,36097,551,5527
06367,40255,31985,2324,5946
06381,133850,44796,73086,15968
06382,147347,21120,105144,21083
06401,88754,41684,28299,18771
06402,147460,74279,53905,19276
06403,92810,34068,44621,14121
06426,33625,19219,9123,5283
06428,111961,66124,28035,17802
